SN,DATE,TIME,LATITUDE,LONGITUDE,ALTITUDE,PRESSURE,SZA,TEMP,SIG305,SIG312,SIG320,SIG936,SIG1020,R305_312,R312_320,STD305_312,STD312_320,OZ305_312,OZ312_320,OZONE,WATER,AOT1020,ID,
8442,3/29/2006,14:10:22,40.1,-75.152,75,1016,53.81,17.5,38.87,175.16,178.28,480.25,922.8,0.2219,0.9825,0.005,0.003,417.1,424.4,412.8,0.69,0.083,0,
8442,3/29/2006,14:10:33,40.1,-75.152,75,1016,53.78,17.5,39.23,175.71,179.13,481.62,929.76,0.2233,0.9809,0.006,0.004,416.2,425.6,410.6,0.7,0.079,0,
8442,3/29/2006,14:10:43,40.1,-75.152,75,1016,53.75,17.5,39.53,176.8,180.05,484.56,929.55,0.2236,0.9819,0.004,0.003,416.2,425.4,410.7,0.69,0.079,0,
8442,3/29/2006,14:10:54,40.1,-75.152,75,1016,53.72,17.5,39.58,177.32,180.37,485.19,934.46,0.2232,0.9831,0.002,0.001,416.9,425.1,412,0.7,0.076,0,
8442,3/29/2006,14:11:05,40.1,-75.152,75,1016,53.69,17.5,39.65,176.95,180.44,483.16,928.75,0.2241,0.9807,0.002,0.003,416.4,426.8,410.2,0.69,0.08,0,
8442,3/29/2006,14:11:15,40.1,-75.152,75,1016,53.67,17.6,39.57,177.32,180,484.18,933.24,0.2232,0.9851,0.008,0.004,417.5,424.6,413.3,0.7,0.077,0,
8442,3/29/2006,15:20:52,40.1,-75.152,75,1016,43.56,12.4,121.22,359.38,308.2,568.18,944.62,0.3373,1.1661,0.003,0.003,414,424,408,0.63,0.087,0,
8442,3/29/2006,15:21:02,40.1,-75.152,75,1016,43.54,12.5,120.82,360.85,309.02,570.68,948.57,0.3348,1.1677,0.007,0.003,416,423.3,411.6,0.63,0.084,0,
8442,3/29/2006,15:21:13,40.1,-75.152,75,1016,43.52,12.6,121.36,361.44,309.78,569.66,946.1,0.3358,1.1668,0.002,0.002,415.4,424,410.3,0.63,0.086,0,
8442,3/29/2006,15:21:23,40.1,-75.152,75,1016,43.5,12.6,120.99,361.39,308.94,563.93,934.68,0.3348,1.1698,0.008,0.001,416.3,422.4,412.7,0.62,0.095,0,
8442,3/29/2006,15:21:34,40.1,-75.152,75,1017,43.48,12.7,121.1,361.51,309.65,567.96,944.71,0.335,1.1675,0.005,0.004,416.3,423.9,411.8,0.63,0.087,0,
8442,3/29/2006,15:21:44,40.1,-75.152,75,1016,43.46,12.7,120.69,361.94,308.78,565.95,940.26,0.3334,1.1722,0.004,0.002,417.6,421.4,415.4,0.62,0.091,0,
8442,3/29/2006,18:08:39,40.1,-75.152,75,1017,39.27,11.7,154.25,384.51,308.55,609.01,930.02,0.4012,1.2462,0.005,0.002,398.2,411,390.6,0.54,0.106,0,
