Current calibration constants S/N:08442,,,,,,,,,,,,,,,,,,,,,,
A1=2.945E+00,A2=1.097E+00,B1=1.024E-01,B2=9.330E-02,L1=7.206E-01,L2=8.826E-01,OC=0.000,,,,,,,,,,,,,,,,,
C1=1.154E-04, C2=2.719E-04, C3=7.129E-04, C4=6.104E-03, C5=7.027E-03,,,,,,,,,,,,,,,,,,
LNV04=7.215E+00, LNV05=6.931E+00, K=7.847E-01, B=5.945E-01, C=1.16,,,,,,,,,,,,,,,,,,,
POFFS=-1.079E+01, PSCALE=2.289E+01,,,,,,,,,,,,,,,,,,,,,,
REC#0210,,,,,,,,,,,,,,,,,,,,,,,
FIELDS:,,,,,,,,,,,,,,,,,,,,,,,
SN,DATE,TIME,LATITUDE,LONGITUDE,ALTITUDE,PRESSURE,SZA,TEMP,SIG305,SIG312,SIG320,SIG936,SIG1020,R305_312,R312_320,STD305_312,STD312_320,OZ305_312,OZ312_320,OZONE,WATER,AOT1020,ID
08442,02/05/2019,22:09:23,37.867,-122.267,   95,1003,59.18, 13.4,  75.23, 263.56, 264.15, 644.59, 985.67,0.2855,0.9978,0.007,0.004,312.1,332.3,300.2, 0.42, 0.025, 1
08442,02/05/2019,22:09:35,37.867,-122.267,   95,1003,59.20, 13.5,  75.06, 262.87, 262.84, 639.79, 976.71,0.2855,1.0001,0.002,0.001,311.9,331.0,300.6, 0.42, 0.029, 1
08442,02/05/2019,22:09:47,37.867,-122.267,   95,1003,59.22, 13.5,  74.22, 263.71, 263.07, 638.10, 974.17,0.2814,1.0025,0.008,0.005,314.2,329.6,305.1, 0.42, 0.031, 1
08442,02/05/2019,22:09:58,37.867,-122.267,   95,1003,59.24, 13.6,  74.31, 262.49, 262.59, 634.25, 973.34,0.2831,0.9996,0.005,0.003,313.0,330.7,302.5, 0.42, 0.031, 1
08442,02/05/2019,22:10:10,37.867,-122.267,   95,1003,59.26, 13.6,  74.30, 262.56, 262.07, 636.92, 982.23,0.2830,1.0019,0.003,0.002,312.9,329.4,303.1, 0.43, 0.026, 1
08442,02/05/2019,22:11:45,37.867,-122.267,   95,1003,59.42, 13.6,  70.43, 257.33, 254.10, 600.26, 922.48,0.2737,1.0128,0.022,0.015,317.2,322.5,314.0, 0.41, 0.058, 1
08442,02/05/2019,22:12:03,37.867,-122.267,   95,1003,59.45, 13.7,  68.75, 246.56, 246.93, 556.90, 854.84,0.2788,0.9983,0.015,0.008,313.6,328.8,304.5, 0.40, 0.097, 1
08442,02/05/2019,22:12:20,37.867,-122.267,   95,1003,59.48, 13.7,  66.68, 237.35, 242.43, 553.65, 847.36,0.2811,0.9790,0.030,0.022,311.9,337.6,296.6, 0.39, 0.101, 1
08442,02/05/2019,22:12:32,37.867,-122.267,   95,1003,59.50, 13.8,  66.95, 245.08, 247.69, 577.40, 886.50,0.2732,0.9895,0.007,0.014,316.7,332.4,307.3, 0.40, 0.078, 1
08442,02/05/2019,22:12:43,37.867,-122.267,   95,1003,59.52, 13.8,  70.31, 251.01, 254.08, 604.10, 926.97,0.2801,0.9879,0.012,0.011,312.1,332.9,299.7, 0.41, 0.056, 1
08442,02/05/2019,22:14:04,37.867,-122.267,   95,1004,59.65, 14.1,  66.36, 229.10, 239.44, 581.00, 900.84,0.2899,0.9567,0.030,0.036,304.7,346.1,280.1, 0.41, 0.070, 2
08442,02/05/2019,22:14:15,37.867,-122.267,   95,1004,59.67, 14.2,  70.05, 251.99, 255.93, 632.37, 969.75,0.2780,0.9846,0.003,0.004,311.8,332.5,299.5, 0.41, 0.032, 2
08442,02/05/2019,22:14:25,37.867,-122.267,   95,1004,59.69, 14.2,  69.66, 254.08, 255.51, 632.71, 975.34,0.2742,0.9944,0.003,0.003,314.1,327.7,305.9, 0.42, 0.030, 2
08442,02/05/2019,22:14:36,37.867,-122.267,   95,1004,59.71, 14.3,  69.27, 253.36, 255.35, 638.69, 987.30,0.2734,0.9922,0.010,0.001,314.3,328.5,305.9, 0.42, 0.023, 2
08442,02/05/2019,22:14:47,37.867,-122.267,   95,1004,59.73, 14.3,  69.05, 253.14, 254.62, 634.61, 981.44,0.2728,0.9942,0.006,0.001,314.6,327.4,307.0, 0.42, 0.026, 2
08442,02/05/2019,22:14:58,37.867,-122.267,   95,1004,59.75, 14.4,  69.21, 252.71, 254.94, 637.92, 984.84,0.2739,0.9913,0.002,0.002,313.7,328.5,304.8, 0.42, 0.025, 2
08442,02/05/2019,22:15:09,37.867,-122.267,   95,1004,59.76, 14.4,  68.95, 252.46, 254.10, 636.48, 972.89,0.2731,0.9936,0.002,0.003,314.0,327.2,306.1, 0.41, 0.031, 2
